parameter1,parameter2,parameter3,parameter4,output
979,789,881,974,3623
96,850,168,605,1719
844,353,534,617,2348
543,490,118,671,1822
933,863,166,685,2647
200,410,145,528,1283
757,456,307,238,1758
544,940,187,559,2230
664,282,687,492,2125
877,47,165,918,2007
706,210,126,487,1529
926,218,621,223,1988
640,257,57,835,1789
168,430,15,434,1047
575,54,991,938,2558
762,72,698,849,2381
123,329,323,98,873
119,17,323,824,1283
984,408,509,424,2325
24,389,991,956,2360
212,371,947,246,1776
135,32,970,250,1387
731,140,950,92,1913
143,653,616,690,2102
511,801,489,701,2502
825,791,61,317,1994
31,468,372,413,1284
719,550,13,285,1567
621,269,70,416,1376
611,427,455,442,1935
449,157,933,424,1963
187,162,829,684,1862
783,113,38,821,1755
179,930,874,679,2662
380,44,547,809,1780
115,147,225,992,1479
495,881,752,568,2696
933,71,120,626,1750
833,792,378,930,2933
759,299,603,875,2536
895,257,711,962,2825
875,43,295,398,1611
546,837,101,510,1994
2,480,498,666,1646
515,291,735,766,2307
929,657,399,250,2235
632,332,125,560,1649
256,451,521,599,1827
459,716,438,725,2338
209,595,114,14,932
734,323,381,100,1538
200,844,760,490,2294
879,115,899,591,2484
705,137,887,587,2316
455,178,999,260,1892
651,339,243,863,2096
312,889,783,607,2591
496,865,574,797,2732
560,890,165,978,2593
269,353,340,208,1170
321,885,19,314,1539
617,506,897,353,2373
415,948,403,533,2299
973,690,343,304,2310
469,920,488,363,2240
409,453,424,305,1591
723,921,534,610,2788
868,645,194,714,2421
838,695,490,782,2805
675,724,110,669,2178
191,375,939,791,2296
865,125,297,866,2153
401,598,253,703,1955
11,879,453,498,1841
798,157,399,129,1483
541,153,913,731,2338
978,363,120,318,1779
269,861,724,864,2718
472,178,129,915,1694
211,680,992,640,2523
435,832,957,78,2302
959,249,221,211,1640
878,897,915,763,3453
400,953,741,932,3026
7,671,151,911,1740
451,867,619,341,2278
288,24,200,720,1232
619,963,111,787,2480
912,927,517,949,3305
881,238,154,867,2140
768,938,905,607,3218
914,551,454,332,2251
201,174,572,607,1554
987,522,193,722,2424
88,248,390,453,1179
84,825,598,73,1580
794,893,908,973,3568
843,649,267,648,2407
380,889,568,363,2200
242,528,466,913,2149
125,546,831,575,2077
833,131,687,834,2485
82,34,727,23,866
715,390,295,538,1938
509,329,360,103,1301
911,954,161,294,2320
463,41,951,201,1656
803,312,17,159,1291
976,52,134,264,1426
464,540,775,743,2522
599,979,586,567,2731
105,165,271,783,1324
385,449,847,265,1946
724,790,309,377,2200
1000,820,840,562,3222
50,175,409,872,1506
902,788,476,225,2391
473,332,555,860,2220
311,99,297,31,738
713,512,27,703,1955
841,558,51,452,1902
301,301,914,841,2357
700,183,339,720,1942
867,168,937,113,2085
92,346,47,90,575
751,483,58,486,1778
744,705,366,344,2159
479,260,164,64,967
922,393,998,291,2604
256,723,720,275,1974
677,678,412,854,2621
977,472,75,54,1578
718,560,661,442,2381
489,449,777,588,2303
995,732,327,98,2152
272,123,15,157,567
589,331,224,935,2079
341,959,883,313,2496
51,467,925,124,1567
487,844,675,181,2187
16,322,775,315,1428
659,510,726,548,2443
348,522,609,352,1831
534,722,396,22,1674
160,352,595,624,1731
949,100,263,580,1892
511,809,9,373,1702
772,251,833,511,2367
854,932,204,387,2377
54,401,98,92,645
972,592,394,727,2685
613,973,461,818,2865
470,265,662,544,1941
910,222,197,202,1531
792,379,9,626,1806
525,896,322,200,1943
404,337,97,355,1193
26,212,356,335,929
141,392,100,947,1580
424,28,962,320,1734
989,959,560,840,3348
339,582,312,949,2182
682,852,987,856,3377
118,692,742,144,1696
347,590,90,14,1041
135,26,670,280,1111
35,392,124,205,756
9,999,621,399,2028
703,700,182,295,1880
846,391,779,335,2351
952,982,992,629,3555
518,442,772,430,2162
689,646,650,909,2894
855,837,240,544,2476
840,382,82,813,2117
215,855,230,418,1718
104,815,28,541,1488
605,270,291,635,1801
779,868,313,130,2090
949,606,871,381,2807
446,585,83,657,1771
349,103,918,634,2004
396,332,981,44,1753
75,732,708,409,1924
722,678,456,535,2391
858,371,193,749,2171
878,633,722,301,2534
612,998,760,880,3250
127,0,628,71,826
893,532,332,702,2459
952,840,352,234,2378
359,755,363,868,2345
106,698,938,197,1939
162,363,232,855,1612
300,445,729,891,2365
575,498,0,295,1368
895,456,812,332,2495
817,820,22,136,1795
797,648,659,522,2626
210,681,14,570,1475
787,964,355,909,3015
402,962,796,918,3078
632,927,196,888,2643
157,416,95,820,1488
221,385,119,25,750
669,268,580,412,1929
930,726,534,282,2472
677,955,152,338,2122
791,82,122,227,1222
49,346,646,330,1371
44,845,162,579,1630
884,971,390,551,2796
95,265,206,225,791
143,435,863,162,1603
282,865,706,909,2762
534,401,759,735,2429
519,756,155,121,1551
8,944,883,318,2153
962,542,589,826,2919
328,349,291,425,1393
557,361,336,121,1375
233,593,434,997,2257
409,381,664,131,1585
79,699,776,655,2209
902,981,710,889,3482
738,543,993,131,2405
55,254,833,11,1153
53,155,165,898,1271
209,673,365,376,1623
755,838,877,984,3454
394,239,38,968,1639
656,795,858,408,2717
235,175,877,725,2012
503,639,233,261,1636
798,451,401,391,2041
431,523,951,998,2903
632,873,292,862,2659
26,407,784,76,1293
598,942,250,752,2542
589,681,683,893,2846
479,177,962,343,1961
354,158,762,635,1909
455,185,441,807,1888
375,787,459,627,2248
771,199,192,349,1511
777,513,999,787,3076
764,307,173,26,1270
710,936,559,161,2366
538,685,43,353,1619
135,849,409,317,1710
396,248,442,802,1888
804,500,152,751,2207
111,196,693,781,1781
262,766,903,491,2422
362,291,598,106,1357
830,773,532,279,2414
81,653,181,522,1437
360,713,140,211,1424
480,229,385,391,1485
592,888,752,465,2697
588,88,444,0,1120
741,996,53,584,2374
233,337,112,158,840
244,823,225,645,1937
188,675,830,752,2445
505,348,1,916,1770
468,741,338,454,2001
832,323,892,379,2426
23,29,693,339,1084
149,308,990,331,1778
121,920,271,813,2125
569,103,225,546,1443
511,762,869,62,2204
86,626,942,54,1708
245,365,112,73,795
422,876,42,480,1820
643,507,779,977,2906
32,221,897,436,1586
385,13,434,911,1743
840,697,274,251,2062
75,884,633,516,2108
577,196,337,499,1609
732,600,166,343,1841
356,734,598,279,1967
944,175,654,118,1891
690,326,526,649,2191
713,366,507,929,2515
494,816,232,905,2447
100,348,766,215,1429
916,753,487,916,3072
685,186,615,879,2365
607,223,721,699,2250
689,603,76,471,1839
998,276,314,324,1912
948,866,917,50,2781
206,863,353,39,1461
505,364,911,360,2140
418,736,275,921,2350
237,119,423,314,1093
540,782,85,11,1418
596,328,508,328,1760
80,226,574,594,1474
812,141,262,678,1893
466,606,192,877,2141
369,93,643,151,1256
90,139,290,43,562
805,792,690,797,3084
652,371,366,606,1995
845,740,102,855,2542
364,902,46,353,1665
770,570,480,567,2387
338,350,557,537,1782
424,677,210,795,2106
151,246,916,295,1608
840,667,160,513,2180
995,722,637,312,2666
41,125,565,393,1124
312,935,51,299,1597
425,808,522,64,1819
330,435,21,73,859
438,399,161,744,1742
804,852,155,121,1932
501,549,387,566,2003
40,132,325,553,1050
160,839,870,468,2337
935,455,127,76,1593
125,60,292,352,829
174,756,171,747,1848
874,395,327,273,1869
29,57,226,896,1208
665,404,453,754,2276
879,159,714,1,1753
548,322,11,929,1810
848,388,155,301,1692
975,542,20,625,2162
437,220,962,817,2436
67,206,466,99,838
747,342,158,442,1689
789,130,130,519,1568
61,79,133,378,651
82,503,313,953,1851
902,699,491,280,2372
969,259,118,741,2087
436,111,827,110,1484
447,750,539,436,2172
502,934,824,191,2451
943,213,148,821,2125
862,704,800,896,3262
261,767,54,32,1114
312,882,702,349,2245
989,476,142,790,2397
420,791,263,2,1476
217,468,578,345,1608
153,620,732,583,2088
865,571,651,248,2335
568,798,445,15,1826
901,128,657,341,2027
309,901,1000,510,2720
857,835,568,574,2834
784,691,215,409,2099
247,887,441,667,2242
807,257,868,966,2898
35,994,338,214,1581
397,114,802,88,1401
94,443,499,653,1689
262,421,728,38,1449
181,350,575,636,1742
395,748,933,699,2775
519,938,377,831,2665
757,84,877,907,2625
819,864,925,687,3295
351,163,923,838,2275
960,106,657,132,1855
949,604,562,326,2441
875,466,845,329,2515
507,299,278,185,1269
260,929,932,112,2233
152,171,692,565,1580
443,12,327,289,1071
761,46,39,251,1097
902,160,734,948,2744
179,268,299,938,1684
649,136,715,356,1856
860,111,762,459,2192
399,614,291,169,1473
100,278,499,428,1305
734,514,684,38,1970
353,711,819,552,2435
191,524,321,91,1127
256,345,808,23,1432
664,100,767,711,2242
419,403,597,949,2368
738,384,633,697,2452
830,967,884,242,2923
965,592,938,703,3198
817,352,565,971,2705
568,147,62,303,1080
675,160,380,80,1295
216,42,664,590,1512
388,824,973,2,2187
458,542,842,554,2396
481,487,482,761,2211
658,703,804,809,2974
875,524,589,490,2478
191,422,279,319,1211
875,442,399,283,1999
247,486,669,451,1853
500,167,598,533,1798
810,353,960,605,2728
885,250,356,142,1633
876,755,555,364,2550
520,297,452,478,1747
891,125,986,132,2134
759,595,875,941,3170
47,808,881,810,2546
947,545,190,612,2294
534,992,881,248,2655
127,794,786,776,2483
608,369,184,100,1261
569,646,562,214,1991
687,370,198,985,2240
872,489,236,568,2165
101,190,104,876,1271
917,802,212,774,2705
96,261,793,658,1808
72,72,237,529,910
818,964,208,246,2236
435,526,324,711,1996
604,632,688,904,2828
807,82,195,601,1685
669,536,639,50,1894
278,414,41,164,897
522,92,469,35,1118
231,229,245,188,893
789,142,412,265,1608
211,720,373,963,2267
134,401,872,613,2020
88,778,89,184,1139
648,109,538,714,2009
14,73,644,274,1005
571,817,97,155,1640
517,425,983,473,2398
168,7,996,654,1825
986,291,12,447,1736
832,559,113,287,1791
129,11,67,184,391
814,260,165,832,2071
270,132,795,151,1348
228,700,91,314,1333
673,259,823,181,1936
447,882,246,508,2083
337,405,163,339,1244
262,925,282,453,1922
356,489,460,990,2295
605,904,915,487,2911
970,440,841,663,2914
960,982,238,400,2580
881,605,793,927,3206
97,88,245,89,519
524,157,700,482,1863
266,932,505,676,2379
65,997,549,958,2569
807,861,119,747,2534
674,571,584,800,2629
614,164,538,911,2227
643,377,223,527,1770
61,928,145,34,1168
444,806,452,76,1778
535,661,54,846,2096
109,664,450,767,1990
602,850,540,700,2692
759,675,270,705,2409
636,750,836,788,3010
596,431,938,240,2205
944,751,266,920,2881
939,175,695,596,2405
888,456,871,431,2646
442,500,154,569,1665
45,741,965,61,1812
503,247,840,890,2480
579,216,661,273,1729
453,655,301,878,2287
403,350,541,425,1719
368,615,986,258,2227
381,697,733,303,2114
371,507,336,218,1432
903,736,833,396,2868
463,814,105,457,1839
553,239,983,935,2710
285,114,428,771,1598
516,286,275,184,1261
280,736,611,74,1701
107,693,267,456,1523
135,850,982,847,2814
375,862,13,582,1832
196,635,630,53,1514
866,154,865,967,2852
629,75,134,386,1224
630,764,46,816,2256
215,452,393,869,1929
177,540,619,617,1953
194,319,720,615,1848
77,407,573,219,1276
868,776,72,601,2317
132,592,622,193,1539
645,216,44,110,1015
83,128,325,766,1302
461,273,400,58,1192
915,97,609,527,2148
451,490,55,1000,1996
695,643,47,285,1670
985,285,679,510,2459
458,46,380,178,1062
264,868,784,572,2488
271,29,913,443,1656
131,271,264,828,1494
239,192,92,903,1426
687,639,811,755,2892
48,460,105,231,844
778,927,493,11,2209
293,394,111,132,930
255,749,533,558,2095
390,490,489,897,2266
237,931,238,130,1536
648,211,583,9,1451
403,159,578,987,2127
230,791,271,155,1447
289,653,919,289,2150
341,990,431,380,2142
420,621,806,385,2232
679,263,707,895,2544
551,444,449,580,2024
998,670,379,923,2970
799,259,546,269,1873
741,22,51,284,1098
54,286,363,286,989
682,750,525,37,1994
52,409,625,419,1505
868,224,284,842,2218
105,645,135,487,1372
131,751,401,843,2126
333,298,818,822,2271
918,382,27,503,1830
872,191,317,661,2041
775,126,110,458,1469
285,457,139,256,1137
928,535,670,573,2706
959,516,588,260,2323
447,302,872,405,2026
268,594,223,129,1214
289,851,504,394,2038
222,899,588,190,1899
159,62,897,848,1966
2,172,569,510,1253
426,333,261,496,1516
306,417,877,197,1797
855,209,397,932,2393
140,762,325,122,1349
886,278,155,650,1969
423,479,907,458,2267
944,999,523,754,3220
454,823,774,866,2917
301,912,553,24,1790
81,277,594,659,1611
110,226,534,949,1819
33,197,457,287,974
485,602,88,554,1729
153,814,776,422,2165
772,667,752,794,2985
214,357,721,151,1443
550,809,266,191,1816
545,740,272,288,1845
602,159,285,0,1046
346,643,805,413,2207
729,855,689,593,2866
883,837,539,268,2527
764,571,374,143,1852
86,175,933,28,1222
607,561,250,63,1481
779,361,587,226,1953
722,800,870,168,2560
880,33,269,654,1836
344,238,906,542,2030
247,340,165,185,937
204,297,384,192,1077
644,603,763,54,2064
360,481,885,58,1784
276,953,593,340,2162
372,853,573,909,2707
356,321,288,449,1414
645,799,237,618,2299
63,449,341,602,1455
757,462,634,35,1888
655,958,883,253,2749
5,456,59,965,1485
465,768,735,860,2828
150,194,858,946,2148
980,849,93,106,2028
472,375,576,165,1588
657,296,901,570,2424
154,986,107,837,2084
37,115,94,815,1061
491,455,708,951,2605
353,399,66,573,1391
2,587,232,604,1425
398,943,288,581,2210
169,893,334,214,1610
881,604,902,326,2713
366,871,765,274,2276
554,372,727,619,2272
327,237,428,76,1068
433,489,84,933,1939
518,223,480,702,1923
881,611,21,967,2480
953,262,15,141,1371
735,224,300,581,1840
933,41,739,27,1740
327,2,644,407,1380
114,948,680,777,2519
558,897,384,933,2772
857,817,408,577,2659
312,936,19,820,2087
495,307,764,256,1822
469,428,416,961,2274
564,639,689,762,2654
807,483,983,88,2361
371,423,989,666,2449
138,317,480,982,1917
343,435,489,856,2123
851,144,797,660,2452
576,458,134,999,2167
642,108,890,653,2293
583,274,540,153,1550
654,599,827,399,2479
220,460,459,630,1769
368,357,426,734,1885
397,7,754,87,1245
983,358,463,905,2709
678,786,426,548,2438
41,547,648,927,2163
93,547,940,65,1645
985,738,348,471,2542
900,170,594,18,1682
408,729,403,339,1879
627,645,158,105,1535
223,589,911,119,1842
846,65,171,33,1115
329,906,136,555,1926
182,331,820,602,1935
390,1000,520,993,2903
335,943,490,501,2269
571,197,16,298,1082
497,811,524,385,2217
862,829,556,769,3016
194,3,890,888,1975
348,486,54,439,1327
658,874,538,710,2780
499,492,579,421,1991
72,995,111,761,1939
513,599,91,222,1425
151,199,697,44,1091
183,371,57,157,768
641,636,459,471,2207
34,768,762,927,2491
258,922,623,939,2742
21,711,775,772,2279
555,283,375,191,1404
555,566,835,507,2463
901,296,9,452,1658
758,150,38,77,1023
841,271,750,521,2383
625,522,810,720,2677
235,568,261,734,1798
96,703,588,147,1534
749,480,516,520,2265
252,110,602,271,1235
68,417,709,76,1270
391,964,582,549,2486
826,722,754,401,2703
180,344,715,79,1318
879,377,651,898,2805
464,841,781,622,2708
5,868,647,215,1735
160,126,715,77,1078
56,817,599,738,2210
445,70,644,193,1352
542,768,481,359,2150
518,196,417,757,1888
858,168,868,984,2878
30,826,861,355,2072
923,517,986,482,2908
392,859,917,412,2580
693,67,172,808,1740
20,866,548,5,1439
255,223,902,460,1840
660,216,333,236,1445
268,92,162,724,1246
31,166,425,485,1107
644,741,657,921,2963
952,396,393,478,2219
661,576,526,787,2550
16,922,842,233,2013
117,341,668,105,1231
577,586,180,659,2002
82,262,972,446,1762
676,622,285,700,2283
643,544,177,196,1560
319,103,353,989,1764
155,240,328,899,1622
677,853,162,603,2295
276,8,329,97,710
231,42,704,957,1934
700,537,982,416,2635
635,387,704,147,1873
260,572,565,164,1561
376,406,683,934,2399
105,868,495,297,1765
68,486,57,556,1167
728,448,948,417,2541
843,814,192,60,1909
410,712,151,358,1631
8,503,143,927,1581
851,903,635,503,2892
259,114,472,887,1732
10,224,864,473,1571
416,489,861,525,2291
19,640,607,343,1609
587,832,597,17,2033
701,314,372,505,1892
810,90,45,265,1210
599,54,644,526,1823
291,563,543,289,1686
219,464,985,552,2220
612,613,636,590,2451
235,172,141,286,834
207,28,574,692,1501
453,107,149,140,849
263,670,641,357,1931
194,567,171,78,1010
371,413,592,313,1689
846,57,159,569,1631
6,243,535,330,1114
4,590,709,690,1993
443,237,484,938,2102
389,137,109,976,1611
437,996,93,475,2001
972,995,500,579,3046
256,752,148,89,1245
857,2,351,685,1895
784,84,213,597,1678
231,240,48,649,1168
515,950,207,551,2223
722,134,697,279,1832
458,39,306,648,1451
924,148,110,135,1317
666,232,372,758,2028
408,644,389,521,1962
301,362,18,903,1584
448,496,884,475,2303
74,978,646,188,1886
322,875,493,421,2111
313,998,802,832,2945
531,986,374,833,2724
134,803,22,555,1514
354,450,722,681,2207
642,54,958,261,1915
806,150,426,224,1606
94,727,647,306,1774
267,780,649,213,1909
529,550,534,262,1875
46,44,527,361,978
36,214,270,862,1382
727,327,812,969,2835
855,684,431,981,2951
389,1000,920,75,2384
120,406,523,543,1592
633,776,43,559,2011
955,636,324,880,2795
703,334,641,327,2005
487,758,118,760,2123
461,713,675,794,2643
763,905,517,427,2612
853,900,737,251,2741
560,394,656,772,2382
270,719,61,610,1660
297,328,595,529,1749
931,656,483,727,2797
885,489,683,90,2147
299,55,644,262,1260
213,111,528,971,1823
85,133,351,678,1247
234,18,547,246,1045
262,32,331,183,808
376,754,270,667,2067
984,310,751,298,2343
898,202,722,906,2728
678,714,598,360,2350
341,370,632,817,2160
849,941,986,500,3276
613,433,366,602,2014
496,174,80,514,1264
44,364,140,679,1227
248,50,17,670,985
334,137,214,958,1643
579,918,301,130,1928
444,640,403,487,1974
704,404,203,402,1713
268,289,470,310,1337
315,363,395,77,1150
220,373,742,116,1451
64,506,728,330,1628
650,433,796,816,2695
850,441,390,280,1961
599,478,351,246,1674
565,338,791,990,2684
172,404,141,695,1412
827,203,47,423,1500
801,648,320,288,2057
461,160,646,654,1921
663,475,19,253,1410
69,387,701,165,1322
997,336,638,992,2963
337,117,454,101,1009
768,734,117,527,2146
461,69,511,905,1946
315,381,443,177,1316
135,438,21,466,1060
818,426,839,578,2661
516,929,218,641,2304
65,145,386,427,1023
644,172,914,212,1942
18,176,685,682,1561
628,318,956,121,2023
236,970,489,269,1964
61,62,797,781,1701
552,622,865,94,2133
299,403,309,346,1357
52,351,174,908,1485
60,378,880,48,1366
613,360,626,879,2478
30,747,167,836,1780
495,72,443,329,1339
71,981,198,127,1377
347,365,87,995,1794
961,126,447,285,1819
500,850,248,983,2581
151,874,696,986,2707
248,115,905,489,1757
577,743,279,422,2021
705,345,598,90,1738
157,206,697,280,1340
588,30,778,930,2326
154,259,343,884,1640
668,691,25,542,1926
245,231,719,990,2185
577,207,700,507,1991
329,933,139,856,2257
480,551,62,741,1834
232,692,36,864,1824
352,714,1,812,1879
975,372,941,44,2332
636,378,803,67,1884
980,103,205,110,1398
360,403,528,817,2108
426,817,722,633,2598
299,506,317,870,1992
587,402,94,453,1536
733,731,374,463,2301
461,606,531,10,1608
33,287,274,594,1188
822,916,460,721,2919
22,819,646,287,1774
933,171,231,111,1446
791,493,261,523,2068
276,0,94,236,606
89,242,718,437,1486
361,166,564,636,1727
605,800,39,242,1686
404,346,68,503,1321
231,931,890,97,2149
280,472,549,429,1730
665,246,242,5,1158
140,476,725,289,1630
80,3,396,698,1177
870,109,922,492,2393
948,45,463,726,2182
924,508,878,772,3082
955,738,74,881,2648
320,344,861,287,1812
252,755,464,637,2108
633,727,431,758,2549
941,354,234,777,2306
843,319,214,43,1419
737,288,663,507,2195
51,326,934,528,1839
774,49,661,891,2375
824,915,159,419,2317
154,257,939,27,1377
419,658,99,952,2128
478,855,338,949,2620
917,317,141,412,1787
817,373,838,981,3009
129,849,317,476,1771
897,280,663,86,1926
377,526,143,451,1497
422,46,75,218,761
89,353,786,336,1564
290,179,814,368,1651
42,601,269,613,1525
725,986,736,569,3016
692,477,82,732,1983
931,330,137,969,2367
531,238,560,613,1942
408,624,16,146,1194
543,426,405,463,1837
814,396,482,74,1766
246,329,771,494,1840
972,513,309,803,2597
440,510,113,399,1462
282,249,980,474,1985
427,205,19,503,1154
896,572,296,307,2071
525,74,512,639,1750
630,871,443,786,2730
412,215,197,455,1279
235,764,728,25,1752
385,416,27,900,1728
741,527,375,75,1718
553,30,465,672,1720
814,915,94,295,2118
491,852,372,137,1852
518,962,779,229,2488
445,367,359,865,2036
338,992,483,404,2217
708,191,607,268,1774
968,499,848,955,3270
16,968,62,455,1501
689,292,209,380,1570
680,386,68,6,1140
173,113,224,396,906
813,153,807,476,2249
998,88,873,154,2113
261,711,397,871,2240
20,584,410,870,1884
169,293,158,82,702
949,12,488,911,2360
952,122,686,794,2554
224,656,35,740,1655
986,972,651,400,3009
176,21,755,930,1882
93,256,483,984,1816
668,454,874,969,2965
685,932,251,189,2057
476,732,41,307,1556
840,189,855,771,2655
322,234,812,149,1517
115,95,762,604,1576
577,501,324,893,2295
688,649,130,46,1513
145,737,280,979,2141
453,838,954,704,2949
278,394,470,727,1869
693,216,681,441,2031
648,338,453,474,1913
385,478,154,279,1296
958,648,536,543,2685
830,892,115,232,2069
310,908,493,630,2341
72,599,951,593,2215
404,443,934,964,2745
82,50,218,720,1070
369,369,291,887,1916
871,14,90,169,1144
514,756,381,492,2143
979,365,908,252,2504
170,112,295,68,645
634,794,602,618,2648
970,664,986,282,2902
63,263,675,983,1984
20,196,323,367,906
263,287,194,958,1702
531,717,192,382,1822
319,535,966,167,1987
722,909,766,63,2460
78,879,614,572,2143
951,258,567,446,2222
795,645,720,695,2855
29,101,804,74,1008
315,601,402,263,1581
777,84,442,207,1510
518,862,709,97,2186
961,238,760,52,2011
918,313,542,197,1970
804,527,792,329,2452
7,90,23,675,795
498,867,686,457,2508
579,8,579,131,1297
197,227,909,904,2237
37,126,185,72,420
571,186,371,57,1185
574,514,769,306,2163
910,892,717,737,3256
123,320,219,639,1301
829,250,822,355,2256
40,946,44,639,1669
910,953,671,127,2661
813,944,222,26,2005
275,628,390,512,1805
559,414,617,261,1851
408,635,548,948,2539
500,898,240,427,2065
911,975,256,441,2583
326,771,78,611,1786
535,1,302,283,1121
973,485,119,437,2014
603,585,969,800,2957
195,987,227,369,1778
795,631,142,298,1866
76,294,806,348,1524
570,559,493,661,2283
973,3,114,779,1869
384,242,802,330,1758
478,537,281,451,1747
205,675,610,362,1852
827,744,995,442,3008
421,734,176,730,2061
475,967,425,121,1988
240,700,232,311,1483
19,446,372,240,1077
347,935,545,485,2312
280,589,996,793,2658
833,756,965,730,3284
975,417,612,370,2374
737,303,623,775,2438
718,307,833,442,2300
895,913,152,835,2795
318,93,19,495,925
895,132,426,57,1510
511,568,225,485,1789
404,899,646,883,2832
646,304,393,444,1787
51,843,544,611,2049
664,222,554,158,1598
271,14,817,53,1155
553,563,259,197,1572
684,394,67,165,1310
709,957,487,920,3073
564,12,268,342,1186
185,248,954,701,2088
694,366,690,48,1798
337,596,374,683,1990
852,953,486,354,2645
821,312,521,383,2037
53,199,291,510,1053
540,222,692,487,1941
281,561,104,66,1012
359,715,249,837,2160
656,35,741,627,2059
916,958,275,768,2917
353,34,796,991,2174
131,806,190,200,1327
728,477,997,97,2299
253,895,315,628,2091
87,390,406,435,1318
937,82,807,653,2479
385,416,961,120,1882
611,776,442,516,2345
313,450,829,197,1789
385,600,372,845,2202
776,8,479,720,1983
127,13,104,873,1117
220,759,640,536,2155
964,464,296,53,1777
439,912,734,637,2722
51,641,731,337,1760
288,827,64,753,1932
782,957,858,851,3448
686,510,78,896,2170
829,633,40,856,2358
641,392,420,420,1873
126,776,993,993,2888
187,497,597,522,1803
779,813,455,517,2564
499,449,164,730,1842
191,744,966,776,2677
693,419,125,623,1860
672,665,666,977,2980
409,37,947,621,2014
572,128,907,38,1645
137,806,458,13,1414
200,396,285,699,1580
973,996,997,591,3557
383,434,109,709,1635
103,460,659,881,2103
8,807,29,210,1054
164,999,148,657,1968
197,123,763,779,1862
505,109,615,353,1582
418,538,988,437,2381
33,487,413,414,1347
377,479,273,342,1471
191,527,333,634,1685
626,462,528,30,1646
499,982,40,466,1987
696,755,190,196,1837
86,874,525,254,1739
395,819,191,636,2041
570,76,79,163,888
907,186,779,849,2721
772,108,915,32,1827
936,919,391,416,2662
