parameter1,parameter2,parameter3,parameter4,output
357,932,67,797,2153
570,539,901,675,2685
881,785,668,675,3009
965,673,812,849,3299
556,806,315,429,2106
93,647,893,432,2065
523,250,367,519,1659
376,765,437,731,2309
363,552,12,628,1555
636,946,333,332,2247
775,7,9,695,1486
313,722,831,493,2359
551,201,270,951,1973
779,72,833,941,2625
452,181,242,878,1753
883,558,592,850,2883
673,507,171,703,2054
266,422,349,220,1257
205,755,824,369,2153
402,706,685,242,2035
626,1,456,979,2062
595,733,767,995,3090
14,291,734,881,1920
473,492,948,316,2229
1,481,703,562,1747
938,155,140,699,1932
204,852,387,435,1878
611,294,275,827,2007
297,572,908,13,1790
188,699,252,40,1179
980,254,293,242,1769
82,57,283,377,799
848,2,814,247,1911
388,768,709,12,1877
244,112,550,303,1209
662,660,60,115,1497
570,843,223,472,2108
802,62,823,874,2561
564,614,249,875,2302
548,283,715,122,1668
598,268,126,292,1284
552,457,357,567,1933
142,731,512,508,1893
313,214,448,275,1250
635,825,278,715,2453
483,992,204,634,2313
267,711,802,179,1959
889,372,764,418,2443
886,633,975,402,2896
344,752,629,128,1853
329,641,486,966,2422
665,505,17,263,1450
343,745,207,717,2012
232,41,344,100,717
993,93,162,117,1365
677,143,433,763,2016
152,368,902,342,1764
329,505,213,39,1086
959,534,336,174,2003
880,290,924,108,2202
735,573,716,859,2883
730,316,698,17,1761
272,759,512,638,2181
857,280,114,883,2134
74,172,193,872,1311
456,608,732,890,2686
651,274,511,650,2086
12,400,228,675,1315
5,214,650,569,1438
180,889,254,709,2032
917,689,770,606,2982
133,58,852,768,1811
327,785,934,719,2765
680,63,534,202,1479
917,138,44,983,2082
51,720,692,511,1974
729,632,889,77,2327
551,502,24,975,2052
249,889,35,936,2109
486,212,95,811,1604
598,81,959,836,2474
639,24,102,859,1624
951,415,137,289,1792
22,831,590,91,1534
504,668,183,366,1721
749,46,401,756,1952
604,466,779,104,1953
292,299,565,705,1861
245,182,516,590,1533
640,685,717,464,2506
550,986,2,71,1609
347,603,939,762,2651
358,304,314,272,1248
777,3,988,409,2177
6,72,586,957,1621
770,45,253,888,1956
305,106,738,809,1958
358,450,915,904,2627
441,167,980,822,2410
519,840,769,446,2574
328,58,684,15,1085
948,891,296,714,2849
276,225,502,812,1815
315,70,235,837,1457
287,880,965,414,2546
618,911,270,54,1853
473,496,879,768,2616
227,641,919,443,2230
504,647,983,550,2684
540,748,286,124,1698
140,109,327,222,798
399,432,868,455,2154
567,237,658,624,2086
206,79,77,124,486
850,393,778,257,2278
678,460,253,837,2228
836,593,217,826,2472
681,180,185,467,1513
287,189,554,222,1252
465,921,122,252,1760
536,665,232,693,2126
26,25,275,495,821
48,93,230,375,746
829,70,393,415,1707
982,987,346,703,3018
600,987,159,653,2399
646,274,856,14,1790
267,989,281,745,2282
805,157,19,70,1051
724,114,112,711,1661
744,199,123,981,2047
628,78,494,984,2184
715,980,514,269,2478
51,859,132,120,1162
62,526,308,625,1521
104,420,745,670,1939
564,88,398,761,1811
887,488,884,325,2584
717,72,400,269,1458
206,981,892,121,2200
945,342,224,565,2076
84,883,380,248,1595
842,594,368,956,2760
311,316,472,671,1770
242,65,675,471,1453
670,82,153,217,1122
503,548,398,837,2286
762,657,860,884,3163
490,374,931,345,2140
943,647,644,797,3031
140,866,204,64,1274
289,44,202,547,1082
125,284,715,673,1797
359,817,882,440,2498
524,850,468,780,2622
816,605,799,897,3117
538,174,9,211,932
241,291,486,545,1563
834,997,494,859,3184
467,926,598,570,2561
183,638,189,844,1854
347,29,207,573,1156
217,240,790,141,1388
713,269,929,800,2711
234,706,622,921,2483
19,75,991,193,1278
135,207,22,709,1073
854,72,651,17,1594
746,210,93,507,1556
199,539,65,903,1706
373,878,995,856,3102
814,110,373,274,1571
353,591,509,93,1546
729,53,470,233,1485
262,128,404,645,1439
802,867,979,141,2789
64,190,573,793,1620
500,176,552,829,2057
553,639,127,417,1736
536,54,510,982,2082
177,978,218,868,2241
708,217,747,845,2517
368,715,982,415,2480
786,937,664,302,2689
588,386,836,373,2183
193,314,366,147,1020
771,751,325,654,2501
494,704,684,932,2814
539,807,220,503,2069
60,645,475,400,1580
320,411,988,222,1941
413,13,435,388,1249
347,944,122,915,2328
605,714,884,925,3128
991,232,768,901,2892
753,499,370,352,1974
471,687,743,18,1919
923,442,214,412,1991
613,902,479,745,2739
645,111,608,949,2313
860,685,490,455,2490
183,861,765,131,1940
22,551,594,807,1974
227,51,731,567,1576
151,434,237,531,1353
407,992,970,486,2855
689,415,748,842,2694
344,162,653,941,2100
826,234,187,65,1312
365,689,9,362,1425
174,402,92,318,986
759,783,796,930,3268
980,963,833,16,2792
667,521,583,57,1828
702,172,231,901,2006
313,663,64,88,1128
769,256,865,684,2574
17,754,790,63,1624
942,334,275,676,2227
885,246,811,67,2009
347,695,872,567,2481
877,291,264,140,1572
849,709,908,317,2783
753,789,16,462,2020
103,144,780,87,1114
488,589,817,445,2339
352,447,127,108,1034
920,989,44,310,2263
43,443,398,251,1135
687,902,266,773,2628
985,205,885,100,2175
667,202,461,559,1889
168,577,3,85,833
603,669,635,927,2834
114,906,169,780,1969
523,370,599,898,2390
142,466,518,33,1159
798,736,210,791,2535
835,43,735,921,2534
962,359,102,801,2224
103,756,184,601,1644
589,46,901,108,1644
807,103,217,687,1814
569,480,670,359,2078
171,466,517,589,1743
221,735,915,756,2627
475,229,777,495,1976
471,126,361,529,1487
211,279,541,207,1238
796,247,843,859,2745
271,958,152,77,1458
394,882,71,660,2007
363,125,91,438,1017
348,29,701,679,1757
964,245,200,708,2117
381,658,228,83,1350
483,799,161,102,1545
346,751,962,96,2155
350,529,223,707,1809
665,923,547,108,2243
965,758,553,45,2321
695,233,113,798,1839
182,820,643,350,1995
510,726,112,730,2078
787,996,252,988,3023
724,712,725,648,2809
972,973,760,216,2921
617,428,299,100,1444
948,895,467,609,2919
124,167,420,781,1492
189,365,990,352,1896
83,551,387,366,1387
250,477,30,242,999
914,244,217,776,2151
42,276,30,774,1122
12,53,528,870,1463
581,47,86,607,1321
307,840,342,749,2238
798,506,781,528,2613
544,30,991,628,2193
476,152,150,764,1542
401,198,782,743,2124
948,371,979,547,2845
926,938,953,432,3249
184,461,299,635,1579
999,406,860,591,2856
370,477,623,667,2137
42,458,330,733,1563
156,493,782,94,1525
15,22,44,94,175
676,815,678,354,2523
767,356,594,0,1717
932,562,678,962,3134
300,967,203,200,1670
762,524,482,99,1867
482,870,732,783,2867
524,853,831,69,2277
2,315,727,194,1238
480,655,825,820,2780
839,658,229,360,2086
490,242,145,134,1011
641,470,729,601,2441
128,492,626,822,2068
704,33,593,985,2315
418,651,47,431,1547
586,650,533,558,2327
521,54,671,256,1502
940,810,32,575,2357
656,242,770,515,2183
548,210,850,363,1971
89,283,175,973,1520
918,64,205,771,1958
903,287,82,205,1477
333,359,229,441,1362
756,589,997,367,2709
502,497,49,462,1510
82,851,956,162,2051
610,291,227,276,1404
496,329,719,863,2407
918,594,387,609,2508
282,237,598,97,1214
819,482,373,237,1911
586,423,691,831,2531
742,650,742,788,2922
983,163,224,85,1455
385,883,810,688,2766
399,309,870,632,2210
17,25,82,576,700
848,818,540,655,2861
410,553,247,942,2152
3,714,712,503,1932
680,639,690,233,2242
676,968,908,255,2807
65,119,866,806,1856
277,649,926,499,2351
624,84,341,5,1054
283,17,382,367,1049
775,478,556,817,2626
341,644,193,970,2148
517,136,39,703,1395
496,653,666,413,2228
69,342,758,306,1475
395,935,197,257,1784
663,264,620,833,2380
407,776,894,259,2336
17,469,692,310,1488
231,354,602,638,1825
992,808,623,45,2468
986,881,603,470,2940
848,581,570,530,2529
601,420,914,730,2665
870,857,459,114,2300
547,155,365,355,1422
132,191,505,283,1111
260,341,176,507,1284
423,74,153,649,1299
752,152,468,875,2247
531,492,653,408,2084
211,710,861,239,2021
656,464,32,885,2037
454,195,520,101,1270
674,682,410,307,2073
196,829,140,999,2164
260,746,992,447,2445
202,353,58,722,1335
108,207,481,539,1335
816,26,849,747,2438
462,27,455,727,1671
444,769,821,55,2089
586,643,598,977,2804
85,662,753,316,1816
506,182,948,251,1887
473,912,764,628,2777
45,613,874,501,2033
539,947,491,69,2046
563,195,641,604,2003
299,257,822,800,2178
318,268,253,493,1332
396,752,69,58,1275
571,440,349,582,1942
883,331,865,577,2656
82,801,582,144,1609
958,61,960,543,2522
189,846,43,62,1140
257,552,896,347,2052
282,860,589,788,2519
394,761,696,340,2191
593,133,333,2,1061
705,96,296,201,1298
730,762,938,722,3152
729,613,910,174,2426
504,328,156,600,1588
481,950,254,378,2063
159,5,639,377,1180
109,730,72,33,944
764,259,973,331,2327
115,375,203,839,1532
759,784,637,12,2192
554,972,370,283,2179
752,722,546,474,2494
794,768,730,603,2895
399,125,873,103,1500
549,994,71,268,1882
209,365,954,900,2428
34,270,996,625,1925
297,681,356,587,1921
152,587,835,512,2086
284,688,510,47,1529
537,340,854,869,2600
359,105,830,171,1465
546,390,476,839,2251
79,574,767,805,2225
340,345,141,419,1245
760,306,234,102,1402
900,586,577,81,2144
922,743,266,784,2715
620,205,187,672,1684
23,77,138,897,1135
682,27,62,824,1595
685,238,251,747,1921
1,25,489,336,851
780,121,646,51,1598
890,431,603,870,2794
407,174,439,694,1714
696,217,281,593,1787
489,883,211,769,2352
575,1000,645,379,2599
396,222,391,371,1380
192,539,506,202,1439
438,898,663,234,2233
372,114,123,954,1563
327,557,719,589,2192
709,930,154,165,1958
440,200,369,430,1439
230,171,763,884,2048
874,265,126,122,1387
702,447,905,633,2687
648,707,179,160,1694
389,380,842,74,1685
96,458,655,421,1630
178,741,268,447,1634
649,959,935,261,2804
454,607,639,635,2335
210,582,889,305,1986
577,556,694,375,2202
353,786,505,460,2104
857,921,954,863,3595
713,325,65,182,1285
700,56,331,350,1437
92,981,426,577,2076
287,243,85,95,710
813,561,304,418,2096
846,227,384,272,1729
207,514,292,106,1119
167,695,165,217,1244
491,154,330,761,1736
134,342,545,419,1440
962,767,935,695,3359
431,580,199,512,1722
825,834,810,294,2763
296,207,704,627,1834
662,610,61,854,2187
758,929,653,856,3196
866,210,324,653,2053
212,102,455,905,1674
941,304,667,52,1964
767,672,926,778,3143
297,212,648,580,1737
96,118,514,394,1122
845,834,966,894,3539
810,374,748,186,2118
182,867,354,327,1730
560,237,556,958,2311
465,918,2,769,2154
494,219,435,409,1557
80,246,42,716,1084
446,85,557,283,1371
368,981,144,602,2095
718,146,755,297,1916
652,488,838,928,2906
537,762,211,413,1923
48,320,401,968,1737
182,955,88,155,1380
935,491,599,655,2680
669,856,568,90,2183
329,221,782,71,1403
213,794,720,323,2050
339,135,700,881,2055
796,928,720,436,2880
185,670,240,950,2045
788,979,641,23,2431
483,111,730,152,1476
764,211,303,400,1678
987,54,766,818,2625
24,882,44,905,1855
65,28,413,504,1010
23,444,455,191,1113
780,404,543,572,2299
952,170,847,632,2601
585,288,448,310,1631
65,251,597,73,986
459,301,526,864,2150
459,290,93,174,1016
315,518,504,641,1978
443,621,914,510,2488
880,621,927,575,3003
305,915,379,648,2247
910,985,205,947,3047
68,154,325,225,772
88,352,872,856,2168
165,293,4,612,1074
93,371,228,244,936
11,225,256,657,1149
820,118,949,363,2250
196,453,967,200,1816
544,130,684,459,1817
434,477,710,668,2289
321,651,789,233,1994
872,736,889,232,2729
642,6,714,379,1741
321,313,7,666,1307
91,143,343,417,994
272,658,223,439,1592
807,472,910,70,2259
477,868,140,465,1950
515,225,295,982,2017
576,79,128,655,1438
579,696,510,287,2072
715,329,940,630,2614
501,841,997,293,2632
797,797,24,41,1659
3,861,509,486,1859
133,585,566,720,2004
701,442,974,796,2913
573,52,44,690,1359
454,286,183,911,1834
358,635,35,900,1928
805,600,23,67,1495
928,592,381,783,2684
844,995,361,795,2995
289,620,944,82,1935
9,335,237,795,1376
728,316,241,173,1458
90,558,98,880,1626
299,149,240,362,1050
594,990,399,209,2192
850,442,1000,964,3256
435,794,886,315,2430
988,530,44,451,2013
487,983,710,249,2429
545,268,311,874,1998
525,183,502,474,1684
70,402,287,719,1478
636,448,917,600,2601
169,293,956,201,1619
873,676,963,150,2662
781,915,519,628,2843
391,627,243,928,2189
958,948,333,392,2631
180,705,908,65,1858
894,429,401,801,2525
776,357,686,260,2079
166,939,321,407,1833
574,407,801,517,2299
448,463,1000,610,2521
583,266,997,335,2181
580,300,424,764,2068
668,753,992,608,3021
863,789,635,174,2461
659,730,625,724,2738
717,14,284,932,1947
969,746,27,230,1972
962,916,735,34,2647
133,522,463,328,1446
140,396,277,319,1132
877,181,266,318,1642
704,707,200,604,2215
729,650,837,11,2227
136,701,921,437,2195
49,71,78,949,1147
810,21,869,223,1923
113,126,321,587,1147
734,127,340,294,1495
669,792,212,894,2567
505,908,887,861,3161
631,417,353,109,1510
829,158,428,742,2157
929,683,456,996,3064
19,234,730,293,1276
868,852,353,915,2988
415,100,550,855,1920
409,70,88,189,756
544,511,510,781,2346
168,589,941,256,1954
101,885,887,450,2323
146,654,527,37,1364
83,303,68,610,1064
292,600,617,107,1616
921,596,917,46,2480
915,944,601,639,3099
690,717,165,510,2082
671,773,697,153,2294
367,747,813,280,2207
126,715,89,667,1597
67,465,175,253,960
909,569,462,210,2150
812,158,369,237,1576
804,830,141,245,2020
86,665,236,196,1183
8,670,382,639,1699
758,7,30,2,797
837,645,747,868,3097
208,837,10,458,1513
711,492,215,631,2049
525,379,74,298,1276
375,543,146,374,1438
613,891,237,158,1899
525,187,873,168,1753
106,391,583,189,1269
326,834,601,592,2353
695,342,131,83,1251
70,747,488,287,1592
34,163,19,442,658
777,635,540,575,2527
29,655,867,632,2183
843,753,417,754,2767
750,845,451,37,2083
548,795,457,827,2627
429,259,677,673,2038
763,825,794,623,3005
410,702,411,205,1728
994,971,995,525,3485
932,28,144,16,1120
257,280,570,119,1226
388,191,652,293,1524
210,234,866,155,1465
505,676,644,914,2739
296,4,488,789,1577
870,939,537,711,3057
591,696,491,579,2357
115,781,81,587,1564
53,106,849,975,1983
274,737,212,440,1663
492,755,733,737,2717
478,757,682,955,2872
447,394,489,139,1469
965,535,953,848,3301
559,462,71,209,1301
216,954,198,932,2300
838,263,225,896,2222
885,950,469,672,2976
71,888,738,428,2125
829,857,664,749,3099
13,209,806,932,1960
756,345,697,538,2336
733,117,691,225,1766
619,524,229,811,2183
788,140,877,505,2310
596,144,97,533,1370
124,117,938,895,2074
340,566,181,621,1708
310,773,176,272,1531
724,838,41,715,2318
665,132,629,166,1592
826,636,526,632,2620
179,134,877,606,1796
174,136,249,89,648
706,624,470,597,2397
226,707,348,391,1672
460,341,315,478,1594
205,784,957,294,2240
516,55,677,247,1495
886,831,318,574,2609
477,859,807,123,2266
964,279,720,223,2186
358,771,308,153,1590
951,323,431,438,2143
911,336,330,116,1693
969,522,335,871,2697
470,789,103,876,2238
902,674,555,409,2540
735,580,572,305,2192
577,19,935,244,1775
37,878,999,475,2389
487,403,46,167,1103
388,274,164,36,862
259,319,521,504,1603
856,384,320,204,1764
110,825,227,254,1416
809,944,521,896,3170
103,529,549,487,1668
656,647,759,102,2164
648,484,712,32,1876
37,899,904,471,2311
427,336,910,517,2190
445,541,61,543,1590
975,474,188,263,1900
736,909,850,730,3225
921,341,4,944,2210
64,364,602,663,1693
706,36,247,340,1329
663,855,281,616,2415
91,544,11,590,1236
958,368,558,803,2687
192,578,540,199,1509
651,241,67,414,1373
556,324,84,194,1158
495,960,270,334,2059
663,713,550,287,2213
314,418,676,3,1411
230,272,713,233,1448
889,356,197,875,2317
707,24,323,515,1569
296,596,138,875,1905
825,959,90,820,2694
574,334,570,742,2220
691,622,289,691,2293
385,118,110,972,1585
959,39,685,250,1933
783,150,326,44,1303
473,673,208,371,1725
574,971,763,105,2413
1000,788,769,739,3296
455,883,139,347,1824
169,916,630,868,2583
581,321,146,693,1741
779,684,438,635,2536
417,361,85,270,1133
298,410,477,525,1710
34,111,3,287,435
197,148,490,729,1564
801,324,111,600,1836
572,861,494,630,2557
600,688,818,942,3048
792,621,104,940,2457
11,48,475,934,1468
818,453,659,497,2427
90,842,402,50,1384
749,343,999,793,2884
963,451,672,769,2855
225,718,24,194,1161
547,801,24,69,1441
608,42,157,646,1453
508,131,553,56,1248
523,135,132,920,1710
301,742,117,783,1943
431,516,844,839,2630
946,983,336,673,2938
120,764,267,943,2094
721,722,810,462,2715
531,133,509,692,1865
852,875,375,760,2862
6,466,509,158,1139
946,939,949,773,3607
930,481,201,784,2396
792,293,169,629,1883
994,264,306,347,1911
31,816,264,353,1464
538,83,969,822,2412
554,267,181,476,1478
345,271,701,688,2005
133,401,681,212,1427
896,1000,179,950,3025
503,708,958,408,2577
36,239,731,615,1621
309,769,586,674,2338
79,634,632,695,2040
896,701,373,597,2567
825,769,189,726,2509
556,148,682,427,1813
651,144,600,758,2153
813,590,936,472,2811
482,407,781,216,1886
958,14,149,968,2089
469,161,855,20,1505
547,419,574,651,2191
706,693,588,764,2751
510,859,693,302,2364
601,334,51,826,1812
604,675,521,161,1961
266,403,169,743,1581
328,912,703,203,2146
388,768,648,713,2517
946,539,970,919,3374
738,100,556,976,2370
941,502,426,450,2319
816,96,744,917,2573
854,969,625,930,3378
880,431,634,115,2060
339,69,936,595,1939
338,371,735,227,1671
50,149,26,804,1029
244,825,293,784,2146
766,544,380,256,1946
46,570,911,576,2103
557,697,559,625,2438
706,386,567,485,2144
296,996,981,312,2585
595,607,952,303,2457
591,104,674,504,1873
753,527,705,948,2933
585,990,977,932,3484
150,446,212,188,996
236,619,29,328,1212
391,127,941,458,1917
237,497,575,447,1756
792,265,110,190,1357
914,696,684,668,2962
525,224,887,225,1861
20,132,435,917,1504
296,494,106,240,1136
858,942,942,176,2918
680,58,704,263,1705
963,394,732,699,2788
751,657,96,12,1516
361,947,731,438,2477
733,345,331,393,1802
323,59,299,799,1480
846,933,884,277,2940
968,728,611,947,3254
442,229,637,340,1648
876,678,754,452,2760
891,145,230,234,1500
202,415,682,206,1505
10,900,853,446,2209
832,483,241,522,2078
664,764,239,261,1928
778,311,968,979,3036
908,491,385,564,2348
91,483,270,212,1056
714,175,994,441,2324
145,668,318,933,2064
441,841,986,49,2317
297,26,186,188,697
765,506,903,449,2623
483,602,479,973,2537
106,52,687,403,1248
746,432,101,396,1675
609,365,625,188,1787
551,284,547,913,2295
913,616,596,130,2255
349,425,866,175,1815
442,32,880,399,1753
365,761,292,253,1671
378,496,238,110,1222
688,305,726,245,1964
0,308,399,864,1571
334,12,825,307,1478
383,283,747,70,1483
931,324,362,671,2288
360,552,115,186,1213
555,999,564,5,2123
792,518,185,687,2182
48,296,554,628,1526
569,199,522,53,1343
75,139,72,799,1085
537,554,80,350,1521
344,348,675,431,1798
423,209,158,959,1749
217,526,743,752,2238
522,451,154,104,1231
234,508,32,285,1059
878,230,721,509,2338
563,200,946,497,2206
176,245,889,472,1782
163,512,795,465,1935
306,166,841,810,2123
823,533,326,164,1846
946,152,741,892,2731
487,991,798,353,2629
653,608,480,375,2116
165,316,339,903,1723
145,49,154,102,450
78,183,622,212,1095
77,231,241,12,561
297,106,545,279,1227
276,542,666,70,1554
592,919,511,567,2589
29,874,587,936,2426
297,107,765,899,2068
385,982,214,433,2014
922,544,893,924,3283
546,735,216,214,1711
805,871,842,179,2697
271,431,915,40,1657
286,298,393,229,1206
167,737,136,748,1788
715,857,257,570,2399
452,800,911,864,3027
760,939,192,338,2229
887,515,815,191,2408
711,316,133,35,1195
651,327,764,315,2057
888,246,35,659,1828
19,386,581,558,1544
596,115,24,274,1009
299,986,538,579,2402
527,407,312,632,1878
189,671,991,255,2106
53,723,159,378,1313
266,567,629,814,2276
746,922,977,594,3239
949,808,673,647,3077
559,830,272,589,2250
127,590,180,572,1469
670,432,977,642,2721
308,52,896,881,2137
525,34,688,537,1784
472,700,938,588,2698
666,713,75,998,2452
44,861,302,94,1301
974,199,388,448,2009
36,385,371,653,1445
249,704,141,728,1822
967,550,584,328,2429
16,741,597,375,1729
112,741,478,669,2000
449,370,513,721,2053
968,747,11,141,1867
858,400,257,258,1773
211,811,85,763,1870
48,453,853,455,1809
262,485,524,552,1823
595,171,597,516,1879
312,234,968,486,2000
399,61,168,737,1365
229,397,584,84,1294
852,818,597,484,2751
1,494,474,150,1119
327,897,389,764,2377
375,685,168,596,1824
443,424,577,478,1922
623,922,120,460,2125
231,164,666,156,1217
552,509,187,998,2246
681,292,499,960,2432
802,613,18,603,2036
568,3,771,853,2195
313,26,757,977,2073
396,129,355,978,1858
647,35,950,0,1632
28,812,83,894,1817
176,499,551,856,2082
532,182,914,308,1936
193,172,653,130,1148
158,177,849,721,1905
36,690,371,326,1423
406,651,497,522,2076
884,605,55,180,1724
439,771,5,421,1636
134,927,822,737,2620
119,902,749,356,2126
518,664,241,780,2203
669,140,970,506,2285
373,257,662,885,2177
853,406,254,126,1639
847,568,264,699,2378
682,231,204,193,1310
318,623,739,119,1799
834,848,296,586,2564
94,101,17,532,744
711,425,715,659,2510
302,436,42,483,1263
3,494,343,583,1423
625,173,542,589,1929
343,189,88,199,819
420,224,979,220,1843
952,3,514,369,1838
346,802,744,556,2448
868,916,122,929,2835
764,541,430,364,2099
230,484,874,461,2049
112,401,286,904,1703
74,742,960,377,2153
683,276,442,847,2248
115,712,989,94,1910
356,674,492,656,2178
594,801,798,866,3059
259,313,979,800,2351
157,15,471,547,1190
112,376,611,255,1354
659,515,551,848,2573
698,66,915,978,2657
523,468,23,562,1576
767,672,39,71,1549
789,549,279,101,1718
327,560,560,598,2045
189,551,390,195,1325
587,911,877,677,3052
475,487,512,135,1609
315,767,51,992,2125
664,207,751,68,1690
827,934,196,567,2524
654,544,987,48,2233
987,224,999,117,2327
941,983,61,861,2846
222,1000,272,278,1772
371,764,729,939,2803
726,898,455,976,3055
849,424,666,807,2746
700,331,997,620,2648
616,106,336,451,1509
461,842,777,40,2120
396,242,411,367,1416
157,258,876,902,2193
387,351,645,789,2172
98,311,954,646,2009
498,374,909,493,2274
302,590,557,277,1726
284,579,625,103,1591
64,439,675,353,1531
376,869,944,693,2882
601,868,758,161,2388
558,891,113,54,1616
494,853,943,140,2430
770,577,102,538,1987
640,909,185,258,1992
19,742,963,164,1888
923,539,986,404,2852
987,258,132,425,1802
4,218,320,700,1242
265,594,989,359,2207
75,675,614,935,2299
107,220,479,763,1569
637,585,242,298,1762
648,224,415,322,1609
227,781,471,884,2363
109,151,968,462,1690
201,900,864,327,2292
314,0,774,699,1787
450,368,109,487,1414
920,590,676,596,2782
712,944,750,642,3048
667,34,3,948,1652
440,942,195,942,2519
41,892,529,337,1799
933,5,420,980,2338
81,496,536,650,1763
122,154,426,537,1239
20,834,868,123,1845
307,581,718,40,1646
971,34,340,877,2222
445,761,475,699,2380
823,468,492,310,2093
85,39,89,845,1058
571,105,423,125,1224
393,857,537,343,2130
801,567,71,603,2042
259,68,623,996,1946
955,504,540,27,2026
694,858,125,862,2539
545,41,121,811,1518
984,162,171,131,1448
760,783,853,526,2922
438,476,184,951,2049
676,655,307,407,2045
668,963,750,343,2724
261,911,470,61,1703
224,622,265,846,1957
622,958,959,488,3027
833,431,643,184,2091
235,580,603,98,1516
246,197,473,125,1041
216,331,354,285,1186
103,275,718,990,2086
20,237,634,195,1086
73,147,483,929,1632
882,379,896,415,2572
33,572,548,265,1418
975,452,159,30,1616
682,777,401,31,1891
862,991,425,247,2525
943,823,894,643,3303
864,987,641,334,2826
902,915,377,304,2498
689,836,488,649,2662
735,929,889,507,3060
748,724,528,280,2280
13,5,357,432,807
951,175,970,144,2240
903,307,70,616,1896
801,234,165,542,1742
535,327,437,460,1759
337,205,146,229,917
836,351,762,117,2066
684,392,526,739,2341
672,86,308,373,1439
56,582,327,448,1413
140,173,940,745,1998
463,641,45,757,1906
119,818,209,1000,2146
405,77,983,591,2056
987,818,439,140,2384
375,442,228,382,1427
710,706,43,895,2354
441,709,235,314,1699
709,255,189,737,1890
49,54,765,77,945
251,222,832,797,2102
705,336,172,822,2035
280,299,626,644,1849
858,112,561,86,1617
30,567,977,288,1862
819,640,240,534,2233
617,242,744,120,1723
464,611,570,520,2165
834,412,387,848,2481
537,313,624,159,1633
946,439,761,115,2261
838,155,269,274,1536
125,858,764,767,2514
